date,revenue,transactions,avg_price,first_sale_hour,last_sale_hour,avg_sale_hour,year,month,day,dayofweek,quarter,week_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dayofweek_sin,dayofweek_cos,transactions_lag_1,transactions_lag_7,transactions_lag_14,transactions_roll_3,transactions_roll_7,transactions_roll_30,transactions_vol_7,total_daily_transactions,total_daily_revenue,market_share_transactions,product_Americano,product_Americano with Milk,product_Cappuccino,product_Cocoa,product_Cortado,product_Espresso,product_Hot Chocolate,product_Latte
2024-12-14,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,14,5,4,50,1,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.2,0.7867957924694432,11.0,334.56,0.0,False,False,False,False,False,True,False,False
2024-12-15,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,15,6,4,50,1,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,0.0,0.42857142857142855,0.2,0.7867957924694431,3.0,107.28,0.0,False,False,False,False,False,True,False,False
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,16,0,4,51,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.42857142857142855,0.2,0.7867957924694431,8.0,276.28,0.0,False,False,False,False,False,True,False,False
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,17,1,4,51,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,0.0,0.42857142857142855,0.2,0.7867957924694431,7.0,225.82,0.0,False,False,False,False,False,True,False,False
2024-12-18,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,18,2,4,51,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.0,0.0,0.2857142857142857,0.2,0.7559289460184544,4.0,138.14,0.0,False,False,False,False,False,True,False,False
2024-12-19,21.06,1.0,21.06,14.0,14.0,14.0,2024,12,19,3,4,51,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0.0,2.0,0.0,0.3333333333333333,0.14285714285714285,0.2,0.3779644730092271,10.0,333.1,0.1,False,False,False,False,False,True,False,False
2024-12-20,21.06,1.0,21.06,14.0,14.0,14.0,2024,12,20,4,4,51,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,1.0,0.0,0.0,0.6666666666666666,0.2857142857142857,0.23333333333333334,0.48795003647426655,9.0,267.94,0.1111111111111111,False,False,False,False,False,True,False,False
2024-12-21,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,21,5,4,51,1,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,1.0,0.0,0.0,0.6666666666666666,0.2857142857142857,0.23333333333333334,0.48795003647426655,14.0,451.64,0.0,False,False,False,False,False,True,False,False
2024-12-22,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,22,6,4,51,1,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,0.0,1.0,0.3333333333333333,0.2857142857142857,0.23333333333333334,0.48795003647426655,8.0,266.48,0.0,False,False,False,False,False,True,False,False
2024-12-23,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,23,0,4,52,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.23333333333333334,0.48795003647426655,10.0,313.5,0.0,False,False,False,False,False,True,False,False
2024-12-24,21.06,1.0,21.06,21.0,21.0,21.0,2024,12,24,1,4,52,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,0.3333333333333333,0.42857142857142855,0.26666666666666666,0.5345224838248488,7.0,220.92,0.14285714285714285,False,False,False,False,False,True,False,False
2024-12-25,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,25,2,4,52,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,1.0,0.0,1.0,0.3333333333333333,0.42857142857142855,0.26666666666666666,0.5345224838248488,10.0,328.2,0.0,False,False,False,False,False,True,False,False
